x,y,species cloglog values
1.0,1.0,0.0064155585
2.0,2.0,0.17334284
3.0,3.0,0.30532882
4.0,4.0,0.35545143
5.0,5.0,0.64702475
6.0,6.0,0.48102835
7.0,7.0,0.1070073
8.0,8.0,0.59625095
9.0,9.0,0.004454535
10.0,10.0,0.17563383
11.0,11.0,0.17247586
12.0,12.0,0.032375574
13.0,13.0,0.012770574
14.0,14.0,0.041176245
15.0,15.0,0.46945688
16.0,16.0,0.031429626
17.0,17.0,0.030121764
18.0,18.0,0.19352324
19.0,19.0,0.013681244
20.0,20.0,0.020052092
21.0,21.0,0.45544705
22.0,22.0,0.6805546
23.0,23.0,0.018074267
24.0,24.0,0.17921281
25.0,25.0,0.008734813
26.0,26.0,0.004020063
27.0,27.0,0.33603933
28.0,28.0,0.049039144
29.0,29.0,0.34549013
30.0,30.0,0.008556264
31.0,31.0,0.40548283
32.0,32.0,0.008042868
33.0,33.0,0.014863848
34.0,34.0,0.4983445
35.0,35.0,0.047333237
36.0,36.0,0.033312198
37.0,37.0,0.5514199
38.0,38.0,0.5375703
39.0,39.0,0.09005752
40.0,40.0,0.14996985
41.0,41.0,0.021457102
42.0,42.0,0.00314786
43.0,43.0,0.60052377
44.0,44.0,0.09680655
45.0,45.0,0.51877415
46.0,46.0,0.027387148
47.0,47.0,0.22427593
48.0,48.0,0.09829786
49.0,49.0,0.22212091
50.0,50.0,0.0064834626
51.0,51.0,0.021144407
52.0,52.0,0.6787348
53.0,53.0,0.07908952
54.0,54.0,0.030682083
55.0,55.0,0.4847607
56.0,56.0,0.006114819
57.0,57.0,0.29959795
58.0,58.0,0.014118985
59.0,59.0,5.9762304E-5
60.0,60.0,0.017380493
61.0,61.0,0.05589597
62.0,62.0,0.06271359
63.0,63.0,6.298899E-4
64.0,64.0,0.08079626
65.0,65.0,0.06519253
66.0,66.0,0.67170256
67.0,67.0,0.19863662
68.0,68.0,0.017149564
69.0,69.0,0.025295313
70.0,70.0,0.022705542
71.0,71.0,0.02510208
72.0,72.0,0.032864615
73.0,73.0,0.017560573
74.0,74.0,0.06384746
75.0,75.0,0.21138567
76.0,76.0,0.15194856
77.0,77.0,0.16316104
78.0,78.0,0.010539931
79.0,79.0,0.0071617365
80.0,80.0,0.08579401
81.0,81.0,0.60999876
82.0,82.0,0.13365884
83.0,83.0,0.17760675
84.0,84.0,0.047419384
85.0,85.0,0.027624963
86.0,86.0,0.015699929
87.0,87.0,0.4729794
88.0,88.0,0.06874201
89.0,89.0,0.017627504
90.0,90.0,0.26123732
91.0,91.0,0.5959194
92.0,92.0,0.04207007
93.0,93.0,0.025455024
94.0,94.0,0.006958046
95.0,95.0,0.04245655
96.0,96.0,0.6348585
97.0,97.0,0.66739976
98.0,98.0,0.53748816
99.0,99.0,0.0065562758
100.0,100.0,0.025667666
101.0,101.0,0.01259536
102.0,102.0,0.03198616
103.0,103.0,0.5487599
104.0,104.0,0.027298456
105.0,105.0,0.0049139974
106.0,106.0,0.03918059
107.0,107.0,0.61494154
108.0,108.0,0.51931477
109.0,109.0,0.6233238
110.0,110.0,0.023893258
111.0,111.0,0.09149217
112.0,112.0,0.013983928
113.0,113.0,0.035538882
114.0,114.0,0.0064550475
115.0,115.0,0.028446391
116.0,116.0,0.36496174
117.0,117.0,0.70676535
118.0,118.0,0.019091599
119.0,119.0,0.06067605
120.0,120.0,0.02116479
121.0,121.0,0.12759255
122.0,122.0,0.0012515605
123.0,123.0,0.33633706
124.0,124.0,0.008174145
125.0,125.0,0.05910432
126.0,126.0,0.026988542
127.0,127.0,0.6204576
128.0,128.0,0.007915306
129.0,129.0,0.014544748
130.0,130.0,1.5050719E-4
131.0,131.0,0.48199183
132.0,132.0,0.19636789
133.0,133.0,0.05810569
134.0,134.0,0.0020347568
135.0,135.0,0.005083861
136.0,136.0,0.0036108121
137.0,137.0,0.017093576
138.0,138.0,0.13208929
139.0,139.0,0.03728055
140.0,140.0,0.03584303
141.0,141.0,0.07470153
142.0,142.0,0.013800244
143.0,143.0,0.008131648
144.0,144.0,0.09059269
145.0,145.0,0.2030919
146.0,146.0,0.019495452
147.0,147.0,0.023455461
148.0,148.0,0.027460815
149.0,149.0,0.24303347
150.0,150.0,0.5539049
151.0,151.0,0.021062415
152.0,152.0,0.41649824
153.0,153.0,0.10670111
154.0,154.0,0.009478996
155.0,155.0,0.19895439
156.0,156.0,0.03257072
157.0,157.0,0.033564437
158.0,158.0,0.74115753
159.0,159.0,0.010945412
160.0,160.0,0.29610756
161.0,161.0,0.0046808533
162.0,162.0,0.0055699507
163.0,163.0,0.4652555
164.0,164.0,0.0061917133
165.0,165.0,0.042550944
166.0,166.0,0.02350013
167.0,167.0,0.5581641
168.0,168.0,0.007020242
169.0,169.0,0.04954395
170.0,170.0,0.2966698
171.0,171.0,0.028436871
172.0,172.0,0.007271595
173.0,173.0,0.040990405
174.0,174.0,1.4497192E-5
175.0,175.0,0.43808818
176.0,176.0,0.124606535
177.0,177.0,0.066081904
178.0,178.0,0.03362678
179.0,179.0,0.527318
180.0,180.0,0.20126818
181.0,181.0,0.011850319
182.0,182.0,0.45421097
183.0,183.0,0.52197486
184.0,184.0,0.00917584
185.0,185.0,0.0058412445
186.0,186.0,0.14852461
187.0,187.0,0.05929924
188.0,188.0,0.015690364
189.0,189.0,0.5147041
190.0,190.0,0.28496146
191.0,191.0,0.009650775
192.0,192.0,2.5154254E-4
193.0,193.0,0.5868597
194.0,194.0,0.014199371
195.0,195.0,0.022445066
196.0,196.0,0.014170847
197.0,197.0,0.06932238
198.0,198.0,0.51556844
199.0,199.0,0.0047421292
200.0,200.0,0.014926945
201.0,201.0,0.12654673
202.0,202.0,0.5373036
203.0,203.0,0.4449439
204.0,204.0,0.33901277
205.0,205.0,0.018876508
206.0,206.0,0.6640214
207.0,207.0,0.02127357
208.0,208.0,0.44133916
209.0,209.0,0.273894
210.0,210.0,0.015979595
211.0,211.0,0.29836717
212.0,212.0,0.02865041
213.0,213.0,0.2254191
214.0,214.0,0.010995512
215.0,215.0,0.033914763
216.0,216.0,0.07316587
217.0,217.0,0.23484117
218.0,218.0,0.042834423
219.0,219.0,0.042657137
220.0,220.0,0.021520836
221.0,221.0,0.029441496
222.0,222.0,0.60550755
223.0,223.0,0.64444643
224.0,224.0,0.42910367
225.0,225.0,0.01487567
226.0,226.0,0.35884985
227.0,227.0,0.050682142
228.0,228.0,0.09973928
229.0,229.0,0.0057289763
230.0,230.0,0.29483423
231.0,231.0,0.6172609
232.0,232.0,0.107830614
233.0,233.0,0.10498912
234.0,234.0,0.036863748
235.0,235.0,0.09919008
236.0,236.0,0.01804495
237.0,237.0,0.09621241
238.0,238.0,0.087306365
239.0,239.0,0.10565884
240.0,240.0,0.01709976
241.0,241.0,6.770288E-5
242.0,242.0,0.020236878
243.0,243.0,0.010607529
244.0,244.0,0.19623622
245.0,245.0,0.27906853
246.0,246.0,0.015545865
247.0,247.0,0.15221623
248.0,248.0,0.6288625
249.0,249.0,0.012832401
250.0,250.0,0.14820565
251.0,251.0,0.017039035
252.0,252.0,0.5229514
253.0,253.0,0.022720946
254.0,254.0,0.558066
255.0,255.0,0.08771995
256.0,256.0,0.02136925
257.0,257.0,0.0034858969
258.0,258.0,0.22199944
259.0,259.0,0.024100123
260.0,260.0,0.042381044
261.0,261.0,0.0037954499
262.0,262.0,0.0068160803
263.0,263.0,0.4805448
264.0,264.0,0.044420056
265.0,265.0,0.020377602
266.0,266.0,0.4965897
267.0,267.0,0.09761122
268.0,268.0,0.46369004
269.0,269.0,0.09937891
270.0,270.0,0.21932073
271.0,271.0,0.054119736
272.0,272.0,0.3324206
273.0,273.0,0.0071255574
274.0,274.0,0.08867037
275.0,275.0,3.2744676E-5
276.0,276.0,0.014707107
277.0,277.0,0.3303899
278.0,278.0,0.04818191
279.0,279.0,0.017954126
280.0,280.0,0.5743752
281.0,281.0,0.13327238
282.0,282.0,0.03756466
283.0,283.0,0.117349945
284.0,284.0,0.15906632
285.0,285.0,0.025419071
286.0,286.0,0.6076798
287.0,287.0,0.018163906
288.0,288.0,0.168953
289.0,289.0,0.017688746
290.0,290.0,0.6445327
291.0,291.0,0.03382764
